Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 16, 1, 30, 22.7595, 28.6945, N/A, 0.448415, 0.448433, 0.0480119, 17.4454, 8, 64, 1, 1, 1, 1, 47.6633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
