Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 262144, 2, 16, 512, 3.68418, 6.6072, N/A, 0.207337, 0.201043, 0.0605572, 0.979283, 4, 2, 1, 1, 16, 1, 18.2231, 2, 4, 1, 1, 2, 1, 58.7617, 
