Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
22, 266240, 2, 16, 520, 3.74535, 6.78181, N/A, 0.213392, 0.206977, 0.0613857, 1.00502, 4, 2, 1, 1, 16, 1, 18.016, 2, 4, 1, 1, 2, 1, 58.7617, 
